Home ID,Appliance Type,Energy Consumption (kWh),Time,Date,Outdoor Temperature (°C),Season,Household Size
271,Washing Machine,0.78,23:36,2023-02-18,31.5,Winter,4
122,Microwave,0.83,14:43,2023-02-07,31.0,Winter,1
166,Computer,1.39,12:41,2023-10-30,-2.9,Fall,1
184,Air Conditioning,2.84,07:33,2023-06-04,-6.5,Spring,2
343,Washing Machine,0.92,20:47,2023-10-05,28.9,Fall,1
251,Dishwasher,0.51,09:08,2023-09-07,35.2,Summer,2
223,Washing Machine,0.62,00:38,2023-04-06,30.9,Spring,1
98,Oven,1.75,16:39,2023-01-09,30.0,Winter,3
30,Fridge,0.12,12:57,2023-07-14,33.6,Summer,5
376,TV,0.65,00:03,2023-08-27,6.7,Summer,2
372,Air Conditioning,4.55,11:28,2023-08-11,-2.3,Summer,5
110,Microwave,1.7,14:48,2023-02-14,18.1,Winter,4
332,Lights,0.75,19:47,2023-01-19,30.4,Winter,4
257,Washing Machine,1.55,00:27,2023-02-11,0.7,Winter,4
7,TV,0.68,04:22,2023-06-09,19.0,Spring,1
420,Heater,2.79,20:57,2023-10-07,25.8,Fall,3
125,Air Conditioning,4.85,12:47,2023-04-08,34.9,Spring,1
94,Washing Machine,0.22,11:41,2023-06-25,32.8,Spring,3
489,Computer,1.12,02:52,2023-06-02,0.4,Spring,5
253,Fridge,0.5,11:50,2023-01-29,-1.8,Winter,1
88,Dishwasher,1.78,17:35,2023-02-14,13.7,Winter,5
340,Air Conditioning,2.13,22:58,2023-12-01,9.5,Fall,2
259,Heater,2.0,09:48,2023-07-06,-6.9,Summer,1
425,Lights,0.3,23:06,2023-03-12,6.9,Winter,4
216,Lights,0.5,21:36,2023-07-09,27.0,Summer,4
419,Computer,1.38,17:01,2023-01-17,-1.8,Winter,3
64,Dishwasher,1.09,19:02,2023-04-25,39.1,Spring,2
49,TV,1.23,03:58,2023-03-10,9.8,Winter,2
322,Lights,1.01,10:48,2023-06-22,14.8,Spring,2
154,Fridge,0.38,18:23,2023-05-10,12.6,Spring,5
485,Computer,0.77,21:49,2023-08-21,25.5,Summer,1
404,Fridge,0.41,00:45,2023-12-24,36.3,Fall,2
227,Air Conditioning,2.21,18:33,2023-12-10,-1.3,Fall,3
406,Dishwasher,0.26,23:42,2023-08-24,15.8,Summer,1
385,Fridge,0.1,00:32,2023-05-26,17.1,Spring,5
288,Washing Machine,0.38,15:25,2023-04-22,-7.9,Spring,2
340,Air Conditioning,3.5,19:34,2023-03-26,36.9,Winter,2
285,Dishwasher,0.99,12:38,2023-03-19,36.7,Winter,4
80,Computer,1.7,03:54,2023-09-22,26.1,Summer,4
273,Heater,2.04,08:15,2023-05-04,-5.1,Spring,2
432,Computer,0.52,10:04,2023-06-22,9.0,Spring,3
252,Air Conditioning,3.24,17:52,2023-06-30,5.0,Spring,2
20,Dishwasher,1.45,22:54,2023-07-13,14.6,Summer,1
307,Washing Machine,0.64,01:54,2023-08-31,4.8,Summer,1
339,Air Conditioning,3.38,01:58,2023-05-15,22.2,Spring,2
270,Washing Machine,1.5,16:32,2023-08-03,35.5,Summer,2
256,Heater,2.85,01:11,2023-06-15,5.1,Spring,3
274,Fridge,0.5,13:46,2023-12-20,-2.1,Fall,1
125,Microwave,0.8,17:50,2023-02-06,-7.4,Winter,5
43,Computer,1.84,16:16,2023-10-25,4.9,Fall,5
246,Washing Machine,1.57,01:45,2023-06-27,33.1,Spring,5
180,Fridge,0.26,17:48,2023-11-15,38.6,Fall,5
489,Heater,2.89,19:48,2023-02-13,36.9,Winter,4
408,Microwave,0.39,14:08,2023-01-24,13.0,Winter,5
293,TV,0.43,10:15,2023-08-28,24.7,Summer,1
45,Washing Machine,0.68,11:16,2023-09-23,2.3,Summer,1
427,Air Conditioning,2.46,11:27,2023-08-11,32.8,Summer,5
108,Air Conditioning,2.52,08:53,2023-12-30,40.0,Fall,2
172,Air Conditioning,2.8,04:45,2023-04-01,17.8,Spring,5
312,Lights,1.06,13:18,2023-03-28,8.5,Winter,3
383,Heater,2.79,15:21,2023-10-08,-6.5,Fall,5
248,Oven,0.6,21:04,2023-01-30,0.6,Winter,1
71,Heater,2.44,23:27,2023-01-27,-2.2,Winter,1
137,Oven,1.15,15:39,2023-01-23,-8.3,Winter,4
91,Oven,0.81,00:38,2023-11-09,1.6,Fall,2
260,Dishwasher,1.49,15:46,2023-01-21,39.8,Winter,3
394,Heater,3.87,12:56,2023-12-12,37.0,Fall,1
288,Washing Machine,1.29,10:58,2023-08-19,38.5,Summer,5
346,Dishwasher,0.37,12:00,2023-02-09,-8.8,Winter,1
340,Dishwasher,0.88,09:29,2023-01-09,20.7,Winter,3
157,Heater,2.52,03:42,2023-01-18,37.1,Winter,3
245,Lights,1.73,09:31,2023-12-28,-7.6,Fall,5
109,Fridge,0.28,09:48,2023-07-07,2.3,Summer,2
81,Microwave,0.26,04:30,2023-11-13,30.9,Fall,5
476,Computer,1.9,21:39,2023-05-26,7.0,Spring,1
69,Lights,0.44,16:23,2023-05-30,10.9,Spring,5
53,TV,0.64,06:11,2023-04-01,7.6,Spring,2
416,Dishwasher,1.75,22:28,2023-07-04,37.4,Summer,1
68,Dishwasher,0.63,08:47,2023-11-08,38.1,Fall,4
45,Oven,1.6,14:35,2023-11-12,8.4,Fall,3
209,Lights,1.99,12:36,2023-02-11,0.9,Winter,5
151,Washing Machine,1.31,12:01,2023-08-27,15.3,Summer,5
304,Washing Machine,0.87,10:49,2023-03-25,8.3,Winter,1
329,Microwave,1.71,02:14,2023-09-03,39.8,Summer,5
432,Fridge,0.11,11:19,2023-06-01,5.1,Spring,4
153,Heater,4.83,02:30,2023-07-24,-3.6,Summer,4
232,Computer,0.37,03:11,2023-06-06,36.4,Spring,3
191,Air Conditioning,2.27,14:39,2023-03-22,0.3,Winter,3
320,Dishwasher,0.75,15:15,2023-04-21,-3.9,Spring,4
105,Washing Machine,0.85,12:05,2023-05-10,26.2,Spring,4
183,Washing Machine,1.07,00:11,2023-11-06,-5.3,Fall,5
374,Microwave,0.65,15:57,2023-11-03,-3.4,Fall,5
454,TV,0.26,01:45,2023-11-21,38.6,Fall,3
469,Dishwasher,0.43,08:38,2023-02-21,13.4,Winter,3
463,Heater,4.0,17:08,2023-12-07,17.3,Fall,4
197,Fridge,0.13,02:18,2023-02-11,22.9,Winter,2
70,Washing Machine,1.27,02:13,2023-02-27,14.8,Winter,5
241,Washing Machine,1.86,02:49,2023-11-10,-4.0,Fall,4
323,Washing Machine,1.7,04:18,2023-01-23,-2.1,Winter,2
117,Air Conditioning,3.65,06:36,2023-05-01,19.4,Spring,4
327,Air Conditioning,2.83,02:18,2023-09-22,23.1,Summer,1
271,Lights,1.13,03:29,2023-02-13,-2.9,Winter,3
52,Washing Machine,0.26,03:56,2023-01-06,19.9,Winter,5
366,Dishwasher,0.58,07:14,2023-04-30,-6.5,Spring,1
200,TV,1.23,19:15,2023-02-26,39.2,Winter,4
37,Dishwasher,1.37,19:43,2023-10-22,1.7,Fall,4
445,Microwave,0.64,19:02,2023-05-16,-5.2,Spring,1
34,Air Conditioning,3.58,04:25,2023-09-23,28.1,Summer,3
149,Computer,1.33,20:38,2023-06-24,25.8,Spring,2
468,Microwave,1.3,22:16,2023-11-15,9.8,Fall,3
98,Fridge,0.21,12:06,2023-08-17,-8.6,Summer,5
206,Dishwasher,0.91,07:08,2023-05-29,4.0,Spring,3
315,TV,1.22,18:07,2023-04-04,4.6,Spring,3
98,TV,0.5,14:51,2023-12-19,8.5,Fall,4
50,Air Conditioning,3.34,08:10,2023-08-31,16.3,Summer,5
108,Lights,1.92,13:59,2023-09-21,20.3,Summer,5
402,Lights,0.76,20:08,2023-11-27,6.7,Fall,2
220,Dishwasher,1.83,09:20,2023-09-16,8.0,Summer,2
118,Washing Machine,0.72,23:49,2023-02-20,9.4,Winter,1
274,Air Conditioning,4.63,21:01,2023-05-27,20.7,Spring,1
3,Heater,4.02,19:14,2023-03-17,-6.9,Winter,4
180,Microwave,1.62,21:19,2023-07-23,10.0,Summer,1
175,Microwave,1.87,11:03,2023-06-29,35.7,Spring,5
244,Washing Machine,0.29,22:11,2023-12-21,6.6,Fall,5
359,Air Conditioning,3.73,07:19,2023-06-26,1.6,Spring,5
165,Microwave,1.95,22:01,2023-11-17,-2.4,Fall,4
99,Heater,3.67,21:47,2023-08-05,3.0,Summer,5
70,Oven,0.42,06:56,2023-11-30,13.6,Fall,1
209,Oven,1.14,05:52,2023-01-19,17.3,Winter,4
409,Air Conditioning,2.85,06:27,2023-08-18,22.9,Summer,1
327,Oven,1.57,10:54,2023-08-12,16.5,Summer,5
425,Dishwasher,0.43,03:17,2023-09-27,10.5,Summer,4
418,Dishwasher,1.1,20:45,2023-12-15,-1.0,Fall,1
405,Lights,0.81,04:09,2023-05-01,-2.1,Spring,1
215,Lights,1.37,22:28,2023-08-02,-1.2,Summer,2
267,Computer,0.42,19:33,2023-03-02,25.5,Winter,5
100,Washing Machine,0.88,10:18,2023-01-09,20.1,Winter,1
129,TV,1.59,14:12,2023-03-16,0.7,Winter,2
455,Washing Machine,1.4,21:43,2023-12-21,13.0,Fall,1
309,Heater,3.28,04:49,2023-08-23,30.6,Summer,4
145,Oven,1.07,21:40,2023-01-21,8.8,Winter,2
10,Air Conditioning,4.58,14:15,2023-04-28,7.6,Spring,1
423,Microwave,1.03,00:53,2023-09-02,12.9,Summer,3
438,Lights,0.64,01:25,2023-04-18,20.3,Spring,2
440,Dishwasher,1.89,21:10,2023-06-06,-0.3,Spring,2
469,Computer,1.79,02:39,2023-06-06,26.0,Spring,2
124,Oven,1.74,10:42,2023-07-29,39.9,Summer,4
488,Air Conditioning,2.95,11:41,2023-01-17,16.5,Winter,2
304,Dishwasher,1.29,20:01,2023-05-17,36.5,Spring,4
182,Oven,0.34,12:57,2023-06-27,26.6,Spring,3
35,TV,1.74,23:07,2023-02-05,-7.7,Winter,4
47,Fridge,0.48,08:32,2023-11-23,15.4,Fall,4
343,Heater,4.48,03:27,2023-10-08,5.1,Fall,2
469,Air Conditioning,4.44,07:06,2023-07-27,5.5,Summer,3
67,Microwave,1.85,17:02,2023-11-18,22.6,Fall,1
60,Dishwasher,0.26,05:19,2023-06-12,8.7,Spring,4
2,Dishwasher,0.5,13:18,2023-07-18,-3.9,Summer,1
1,Washing Machine,1.65,05:09,2023-09-06,30.7,Summer,4
389,Fridge,0.31,11:23,2023-06-24,34.7,Spring,4
81,Heater,2.55,02:00,2023-01-25,19.5,Winter,3
490,Heater,4.35,11:54,2023-05-03,23.8,Spring,2
115,Dishwasher,1.96,06:56,2023-06-10,14.9,Spring,3
243,Oven,0.94,10:50,2023-12-25,8.5,Fall,4
332,Fridge,0.36,13:23,2023-10-11,0.9,Fall,4
353,Air Conditioning,2.01,18:12,2023-01-30,10.3,Winter,4
209,TV,1.37,13:20,2023-12-03,28.1,Fall,3
468,Oven,0.86,21:55,2023-03-07,4.2,Winter,2
488,Heater,2.45,15:32,2023-04-05,22.7,Spring,4
168,Oven,0.55,09:26,2023-10-19,3.8,Fall,2
460,Lights,0.39,00:20,2023-08-05,24.4,Summer,4
23,Oven,0.82,10:55,2023-04-12,21.4,Spring,1
353,Computer,0.62,16:27,2023-05-26,30.5,Spring,2
179,TV,0.99,09:49,2023-05-06,21.8,Spring,4
414,Air Conditioning,2.4,11:46,2023-04-08,8.5,Spring,2
451,TV,1.57,05:21,2023-08-18,26.0,Summer,3
482,Washing Machine,0.43,07:07,2023-03-13,2.9,Winter,2
281,Washing Machine,1.05,12:19,2023-04-22,19.8,Spring,4
15,Microwave,1.2,08:03,2023-06-25,6.7,Spring,2
133,Heater,3.5,09:51,2023-01-07,2.5,Winter,4
91,Washing Machine,1.01,07:12,2023-10-20,25.9,Fall,2
275,Fridge,0.19,17:38,2024-01-01,-8.2,Winter,1
386,Fridge,0.13,23:53,2023-04-20,1.4,Spring,2
39,TV,0.35,23:48,2023-05-22,27.2,Spring,3
471,Dishwasher,1.74,19:53,2023-03-30,34.8,Winter,4
224,TV,1.6,02:19,2023-11-20,-5.0,Fall,4
157,Washing Machine,1.02,20:05,2023-09-02,7.9,Summer,1
487,Dishwasher,1.65,15:40,2023-08-30,7.2,Summer,1
199,Air Conditioning,4.13,04:52,2023-03-26,14.5,Winter,2
487,Washing Machine,0.62,21:58,2023-01-29,38.1,Winter,5
78,Washing Machine,0.34,21:52,2023-04-06,-0.1,Spring,5
246,Washing Machine,1.35,17:30,2023-10-11,28.3,Fall,4
163,Fridge,0.28,14:23,2023-10-08,23.0,Fall,3
273,Dishwasher,1.21,02:35,2023-08-29,2.8,Summer,5
241,Heater,2.64,11:12,2023-02-20,1.7,Winter,1
144,TV,0.38,07:04,2023-07-01,-0.1,Summer,3
459,Oven,0.6,10:32,2023-08-07,14.2,Summer,3
146,Washing Machine,0.51,17:02,2023-06-20,-3.0,Spring,1
129,Air Conditioning,3.94,10:04,2023-07-18,17.8,Summer,5
335,Dishwasher,1.68,16:58,2023-08-09,21.4,Summer,5
180,Heater,3.33,14:44,2023-11-03,21.1,Fall,1
288,Oven,0.33,00:10,2023-07-31,-6.8,Summer,4
213,Fridge,0.32,08:15,2023-01-22,34.3,Winter,5
190,Microwave,0.36,18:56,2023-05-25,10.4,Spring,3
417,Dishwasher,1.47,07:42,2023-07-02,21.6,Summer,5
112,Microwave,1.57,10:36,2023-02-25,-5.8,Winter,1
76,Oven,0.54,08:22,2023-12-20,5.5,Fall,3
159,Microwave,1.32,16:41,2023-04-03,29.9,Spring,3
152,Heater,4.39,16:01,2023-07-22,2.7,Summer,4
248,Fridge,0.11,14:51,2023-12-21,2.4,Fall,4
381,Microwave,0.54,22:27,2023-02-23,13.5,Winter,5
410,Oven,1.61,00:22,2023-12-02,7.6,Fall,4
277,Washing Machine,0.71,12:51,2023-08-09,-2.6,Summer,4
257,Dishwasher,0.89,07:03,2023-03-22,2.5,Winter,4
295,Dishwasher,0.43,06:44,2023-08-23,8.6,Summer,5
113,Lights,1.51,09:31,2023-03-16,37.4,Winter,5
40,Computer,1.71,06:40,2023-04-02,-9.2,Spring,2
64,Lights,1.35,21:20,2023-04-16,21.5,Spring,4
424,Lights,1.28,08:18,2023-06-28,9.8,Spring,4
191,Dishwasher,0.86,01:52,2023-05-15,24.2,Spring,1
187,Air Conditioning,4.51,21:25,2023-04-10,3.4,Spring,1
60,Dishwasher,1.52,20:29,2023-01-20,25.0,Winter,5
340,Heater,3.17,10:54,2023-07-05,19.1,Summer,1
317,Microwave,1.63,10:46,2023-11-11,12.2,Fall,3
275,Heater,3.18,16:08,2023-01-22,39.7,Winter,1
304,Lights,1.64,09:43,2023-09-04,38.8,Summer,3
418,Oven,0.21,20:25,2023-07-10,39.5,Summer,2
477,Computer,1.53,11:34,2023-03-02,2.3,Winter,3
261,Washing Machine,1.38,23:37,2023-03-21,-2.0,Winter,5
156,Heater,3.51,18:49,2023-11-06,10.0,Fall,1
4,Microwave,1.73,18:07,2023-01-10,3.1,Winter,3
430,Computer,0.24,02:22,2023-05-30,16.8,Spring,5
311,Washing Machine,1.41,01:52,2023-11-21,11.5,Fall,1
496,Fridge,0.29,22:04,2023-10-09,35.3,Fall,3
15,Fridge,0.29,17:43,2023-02-10,3.4,Winter,5
288,Lights,0.74,15:12,2023-10-25,22.1,Fall,5
44,Oven,1.4,14:12,2023-10-01,22.3,Fall,5
211,Washing Machine,0.74,15:55,2023-01-18,-2.6,Winter,2
225,Dishwasher,0.71,03:04,2023-04-11,-3.7,Spring,2
347,Dishwasher,0.47,04:47,2023-11-08,34.1,Fall,3
337,TV,0.83,12:23,2023-07-10,8.1,Summer,1
111,Computer,0.39,11:13,2023-10-27,2.5,Fall,2
161,Washing Machine,1.21,05:14,2023-07-06,-1.4,Summer,5
237,Microwave,0.28,16:06,2023-12-11,37.2,Fall,2
73,Computer,0.31,13:01,2023-09-11,8.5,Summer,5
385,Washing Machine,1.26,09:55,2023-12-02,18.3,Fall,2
181,Heater,4.57,11:25,2023-06-11,-0.3,Spring,5
215,Oven,0.22,02:39,2023-10-12,9.3,Fall,2
99,Washing Machine,0.26,22:54,2023-12-14,0.0,Fall,2
292,Heater,3.33,06:02,2023-11-23,-9.5,Fall,3
296,Fridge,0.48,21:02,2023-05-08,39.9,Spring,2
472,Lights,1.03,03:52,2023-09-14,-4.1,Summer,3
102,Air Conditioning,3.54,13:07,2023-04-23,7.6,Spring,1
323,TV,1.07,01:39,2023-12-26,33.6,Fall,3
158,Microwave,1.04,14:37,2023-11-28,-1.9,Fall,2
406,Dishwasher,1.33,09:35,2023-03-11,24.9,Winter,3
283,Dishwasher,0.22,09:45,2023-02-24,19.2,Winter,2
108,Heater,2.91,05:11,2023-05-31,25.8,Spring,5
253,TV,1.49,07:37,2023-07-10,-3.0,Summer,5
428,Computer,1.98,15:49,2023-09-22,25.1,Summer,1
449,Air Conditioning,2.03,08:32,2023-04-11,36.9,Spring,1
235,Oven,0.76,23:16,2023-04-09,37.9,Spring,2
497,Washing Machine,1.17,18:23,2023-03-10,16.2,Winter,2
37,TV,0.81,03:03,2023-06-27,0.8,Spring,3
480,Air Conditioning,3.43,06:20,2023-10-22,16.2,Fall,3
217,Oven,1.47,06:37,2023-10-27,11.4,Fall,4
261,TV,1.66,21:34,2023-06-17,9.8,Spring,5
500,Lights,0.72,01:46,2023-01-20,2.9,Winter,4
10,Air Conditioning,4.48,12:13,2023-06-12,23.5,Spring,4
164,Oven,1.2,02:53,2023-12-29,6.9,Fall,1
88,Air Conditioning,2.41,23:29,2023-06-26,18.2,Spring,2
381,Microwave,1.52,19:04,2023-09-28,0.6,Summer,1
415,Air Conditioning,2.48,11:07,2023-04-21,39.5,Spring,1
128,Lights,1.09,09:57,2023-04-18,20.2,Spring,1
7,Microwave,1.69,19:09,2023-01-26,-6.8,Winter,3
291,Washing Machine,1.42,04:08,2023-06-01,11.4,Spring,5
286,Air Conditioning,4.25,17:29,2023-03-30,18.5,Winter,2
476,Computer,0.27,16:25,2023-02-21,11.6,Winter,1
121,Microwave,0.4,17:45,2023-11-09,32.8,Fall,4
7,Microwave,1.65,17:48,2023-05-27,2.5,Spring,2
256,Dishwasher,1.59,19:21,2023-03-31,36.5,Winter,5
81,Washing Machine,0.35,11:24,2023-04-14,10.0,Spring,4
307,Fridge,0.25,15:59,2023-07-09,12.2,Summer,1
107,Microwave,1.21,02:50,2023-08-05,5.6,Summer,1
348,Microwave,1.47,03:43,2023-08-10,4.3,Summer,3
456,Oven,0.32,06:05,2023-03-23,3.5,Winter,4
149,Oven,0.36,07:03,2023-08-21,17.1,Summer,3
241,Microwave,1.67,01:19,2023-09-11,-4.3,Summer,4
445,Air Conditioning,2.39,12:50,2023-01-23,-3.0,Winter,3
233,TV,1.46,01:29,2023-02-10,-5.6,Winter,3
181,Microwave,1.24,08:26,2023-08-07,4.1,Summer,5
14,Oven,1.28,09:27,2023-04-18,8.0,Spring,1
395,Fridge,0.23,17:54,2023-01-21,10.2,Winter,2
23,Dishwasher,0.64,05:56,2023-09-30,34.7,Summer,1
179,TV,1.08,06:43,2023-09-11,39.9,Summer,2
484,Washing Machine,0.51,10:18,2023-04-13,20.3,Spring,2
218,TV,1.63,04:42,2023-01-13,21.2,Winter,4
115,Microwave,1.81,17:51,2023-10-30,-4.9,Fall,4
84,Computer,0.57,00:32,2023-03-17,15.5,Winter,3
369,Dishwasher,0.21,19:48,2023-06-27,30.8,Spring,4
317,Computer,1.69,07:32,2023-07-15,5.3,Summer,4
387,Heater,4.27,19:50,2023-01-10,9.8,Winter,3
441,Microwave,1.9,00:04,2023-12-04,31.2,Fall,5
21,TV,1.21,23:50,2023-07-08,5.7,Summer,4
457,Oven,1.94,05:25,2023-02-02,-1.4,Winter,1
385,TV,0.29,12:59,2023-05-18,-5.2,Spring,4
497,Microwave,0.81,19:25,2023-09-19,21.7,Summer,5
411,Microwave,1.71,08:43,2023-11-18,38.1,Fall,4
269,Air Conditioning,4.49,22:50,2023-11-20,4.0,Fall,3
